,Size,Mouth,Lung,Trachea,Product,Inlet,Flowrate,Flow,RampTimeInhalation,BolusDelay,DeviceType,inlet,InhalationProfile
1,8.3221e-07,0.02816383314456876,0.9718361668554313,0.0,PT010,large,15,,"0,4",0,nondfp,0.0,trapezoid
2,1.1644e-06,0.03230184518934969,0.9676981548106504,0.0,PT010,large,15,,"0,4",0,nondfp,0.0,trapezoid
3,1.4966e-06,0.0374265734265734,0.9625734265734266,0.0,PT010,large,15,,"0,4",0,nondfp,0.0,trapezoid
4,1.8289e-06,0.04310585009464234,0.9568941499053577,0.0,PT010,large,15,,"0,4",0,nondfp,0.0,trapezoid
5,2.1611e-06,0.05042504181858536,0.9495749581814146,0.0,PT010,large,15,,"0,4",0,nondfp,0.0,trapezoid
6,2.4933e-06,0.06272787800006338,0.9372721219999366,0.0,PT010,large,15,,"0,4",0,nondfp,0.0,trapezoid
7,2.8255e-06,0.0722728859400916,0.9277271140599084,0.0,PT010,large,15,,"0,4",0,nondfp,0.0,trapezoid
8,3.1577e-06,0.08437101727204317,0.9156289827279568,0.0,PT010,large,15,,"0,4",0,nondfp,0.0,trapezoid
9,3.4899e-06,0.09979398694461318,0.9002060130553867,0.0,PT010,large,15,,"0,4",0,nondfp,0.0,trapezoid
10,3.8221e-06,0.11797642513291288,0.882023574867087,0.0,PT010,large,15,,"0,4",0,nondfp,0.0,trapezoid
11,4.1544e-06,0.14017960527037052,0.8598203947296295,0.0,PT010,large,15,,"0,4",0,nondfp,0.0,trapezoid
12,4.4866e-06,0.16408958816532224,0.8359104118346777,0.0,PT010,large,15,,"0,4",0,nondfp,0.0,trapezoid
13,4.8188e-06,0.1968767774244659,0.803123222575534,0.0,PT010,large,15,,"0,4",0,nondfp,0.0,trapezoid
14,5.151e-06,0.229495890574395,0.770504109425605,0.0,PT010,large,15,,"0,4",0,nondfp,0.0,trapezoid
15,5.4832e-06,0.2690373480600199,0.7309626519399801,0.0,PT010,large,15,,"0,4",0,nondfp,0.0,trapezoid
16,5.8154e-06,0.3089106151738232,0.6910893848261769,0.0,PT010,large,15,,"0,4",0,nondfp,0.0,trapezoid
17,6.1477e-06,0.34608530628365425,0.6539146937163458,0.0,PT010,large,15,,"0,4",0,nondfp,0.0,trapezoid
18,6.4799e-06,0.39220885648493564,0.6077911435150645,0.0,PT010,large,15,,"0,4",0,nondfp,0.0,trapezoid
19,6.8121e-06,0.434404377253672,0.5655956227463281,0.0,PT010,large,15,,"0,4",0,nondfp,0.0,trapezoid
20,7.1443e-06,0.4795076593109655,0.5204923406890345,0.0,PT010,large,15,,"0,4",0,nondfp,0.0,trapezoid
21,7.4765e-06,0.52184041529512,0.47815958470488,0.0,PT010,large,15,,"0,4",0,nondfp,0.0,trapezoid
22,7.8087e-06,0.5643914155109631,0.4356085844890369,0.0,PT010,large,15,,"0,4",0,nondfp,0.0,trapezoid
23,8.1409e-06,0.6038910447244792,0.39610895527552087,0.0,PT010,large,15,,"0,4",0,nondfp,0.0,trapezoid
24,8.4732e-06,0.6383138227424113,0.3616861772575888,0.0,PT010,large,15,,"0,4",0,nondfp,0.0,trapezoid
25,8.8054e-06,0.673180565702915,0.32681943429708504,0.0,PT010,large,15,,"0,4",0,nondfp,0.0,trapezoid
26,9.1376e-06,0.7010795112060936,0.2989204887939064,0.0,PT010,large,15,,"0,4",0,nondfp,0.0,trapezoid
27,9.4698e-06,0.729303167071244,0.270696832928756,0.0,PT010,large,15,,"0,4",0,nondfp,0.0,trapezoid
28,9.802e-06,0.7574410848566844,0.24255891514331562,0.0,PT010,large,15,,"0,4",0,nondfp,0.0,trapezoid
