,Size,nozzle,inlet,Mouth,Lung,Trachea,Product,Inlet,Flowrate,Flow,RampTimeInhalation,BolusDelay,DeviceType,InhalationProfile
63,2.143e-05,0.0006788695567118,1.885748768644069e-05,0.9558276118785674,0.04371742906774754,0.00045495905368506416,PT010,large,15,trapezoid,"0,4",0,dfp,
64,2.1762e-05,0.0006031779940561,0.0,0.9599962663181898,0.039483685143946706,0.0005200485378634841,PT010,large,15,trapezoid,"0,4",0,dfp,
65,2.2094e-05,0.0004332891671428,3.767731888198806e-05,0.9615978559121945,0.03713866377384977,0.0012634803139557084,PT010,large,15,trapezoid,"0,4",0,dfp,
66,2.2426e-05,0.0005465064420113,1.8845049724527972e-05,0.9651825357635122,0.03400345338292493,0.0008140108535629173,PT010,large,15,trapezoid,"0,4",0,dfp,
67,2.2758e-05,0.00054613593135,1.8832273494829948e-05,0.9677770417336995,0.03158417715529469,0.0006387811110058886,PT010,large,15,trapezoid,"0,4",0,dfp,
68,2.3091e-05,0.0007910001749422,0.0,0.970363245456573,0.02895779109455142,0.0006789634488755994,PT010,large,15,trapezoid,"0,4",0,dfp,
69,2.3423e-05,0.0004143958605346,1.8836175478846285e-05,0.9722814035638204,0.027196834620910403,0.0005217618152691942,PT010,large,15,trapezoid,"0,4",0,dfp,
70,2.3755e-05,0.000433077043591,1.882943667786968e-05,0.9727877696007737,0.026493652558603902,0.0007185778406225111,PT010,large,15,trapezoid,"0,4",0,dfp,
71,2.4087e-05,0.00056486182902,0.0,0.9753699025413664,0.023968483119085584,0.0006616143395481372,PT010,large,15,trapezoid,"0,4",0,dfp,
72,2.4419e-05,0.0003387767661672,0.0,0.9768238107578214,0.02253963972491522,0.0006365495172632758,PT010,large,15,trapezoid,"0,4",0,dfp,
73,2.4752e-05,0.0002634880802008,0.0,0.9796137239946311,0.019637392397008575,0.0007488836083604416,PT010,large,15,trapezoid,"0,4",0,dfp,
74,2.5084e-05,0.000357362290691,1.880854161531713e-05,0.9802133223018197,0.019193616513766235,0.0005930611844140194,PT010,large,15,trapezoid,"0,4",0,dfp,
75,2.5416e-05,0.0002067889436824,0.0,0.9812998561527398,0.018098600758467347,0.0006015430887929221,PT010,large,15,trapezoid,"0,4",0,dfp,
76,2.5748e-05,0.0001880535827965,0.0,0.9818923203397101,0.01757360483884889,0.00053407482144104,PT010,large,15,trapezoid,"0,4",0,dfp,
77,2.6081e-05,0.0001880748036878,0.0,0.9843192089641173,0.01510649454889973,0.0005742964869828931,PT010,large,15,trapezoid,"0,4",0,dfp,
0,5e-07,0.1108310358022384,0.0,0.01953349050417003,0.9804665094958299,0.0,PT010,large,15,,"0,4",0,nondfp,trapezoid
1,8.3221e-07,0.0973341551737421,0.0,0.02286952335098687,0.9771304766490132,0.0,PT010,large,15,,"0,4",0,nondfp,trapezoid
